sku,title,description,category,material,origin_district,price_rwf,artisan_id
RW-1022,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,silk,Kicukiro,119757,ART-023
RW-1023,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,wool,Gasabo,74926,ART-024
RW-1024,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,kitenge,Musanze,3703,ART-025
RW-1025,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,cotton,Huye,43853,ART-026
RW-1026,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,linen,Rubavu,112785,ART-027
RW-1027,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,silk,Muhanga,91194,ART-028
RW-1028,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,wool,Kimironko,74842,ART-029
RW-1029,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,kitenge,Kicukiro,42758,ART-030
RW-1030,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,cotton,Gasabo,58443,ART-031
RW-1031,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,linen,Musanze,90236,ART-032
RW-1032,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,silk,Huye,28793,ART-033
RW-1033,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,wool,Rubavu,26312,ART-034
RW-1034,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,kitenge,Muhanga,101595,ART-035
RW-1035,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,cotton,Kimironko,27353,ART-036
RW-1036,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,linen,Kicukiro,96104,ART-037
RW-1037,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,silk,Gasabo,92165,ART-038
RW-1038,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,wool,Musanze,71342,ART-039
RW-1039,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,kitenge,Huye,13390,ART-040
RW-1040,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,cotton,Rubavu,122435,ART-041
RW-1041,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,linen,Muhanga,142568,ART-042
RW-1042,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,silk,Kimironko,34722,ART-043
RW-1043,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,wool,Kicukiro,101230,ART-044
RW-1044,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,kitenge,Gasabo,22656,ART-045
RW-1045,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,cotton,Musanze,146714,ART-046
RW-1046,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,linen,Huye,78854,ART-047
RW-1047,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,silk,Rubavu,96800,ART-048
RW-1048,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,wool,Muhanga,52407,ART-049
RW-1049,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,kitenge,Kimironko,20233,ART-050
RW-1050,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,cotton,Kicukiro,14012,ART-001
RW-1051,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,linen,Gasabo,61742,ART-002
RW-1052,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,silk,Musanze,77861,ART-003
RW-1053,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,wool,Huye,22916,ART-004
RW-1054,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,kitenge,Rubavu,63024,ART-005
RW-1055,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,cotton,Muhanga,28476,ART-006
RW-1056,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,linen,Kimironko,101647,ART-007
RW-1057,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,silk,Kicukiro,74869,ART-008
RW-1058,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,wool,Gasabo,120858,ART-009
RW-1059,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,kitenge,Musanze,97638,ART-010
RW-1060,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,cotton,Huye,44638,ART-011
RW-1061,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,linen,Rubavu,99040,ART-012
RW-1062,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,silk,Muhanga,95132,ART-013
RW-1063,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,wool,Kimironko,56921,ART-014
RW-1064,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,kitenge,Kicukiro,71986,ART-015
RW-1065,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,cotton,Gasabo,20717,ART-016
RW-1066,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,linen,Musanze,46862,ART-017
RW-1067,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,silk,Huye,142021,ART-018
RW-1068,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,wool,Rubavu,66175,ART-019
RW-1069,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,kitenge,Muhanga,44834,ART-020
RW-1070,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,cotton,Kimironko,123178,ART-021
RW-1071,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,linen,Kicukiro,101471,ART-022
RW-1072,Rwandan Kitenge Dress,Beautiful handmade kitenge dress with traditional African patterns made by local artisans in Kigali,apparel,silk,Gasabo,72765,ART-023
RW-1073,Cotton Wrap Skirt,Handwoven cotton wrap skirt made by local artisans in Rwanda cooperative,apparel,wool,Musanze,148001,ART-024
RW-1074,Linen Safari Shirt,Lightweight linen shirt perfect for Rwandan climate handmade locally,apparel,kitenge,Huye,59570,ART-025
RW-1075,Imigongo Print Shirt,Shirt featuring traditional Rwandan Imigongo geometric art patterns,apparel,cotton,Rubavu,87008,ART-026
RW-1076,Handmade Wool Sweater,Warm wool sweater knitted by Kigali women cooperative artisans,apparel,linen,Muhanga,16663,ART-027
RW-1077,Kitenge Blazer,Professional blazer made from authentic African kitenge fabric Rwanda,apparel,silk,Kimironko,62043,ART-028
RW-1078,Cotton Summer Dress,Light cotton dress handmade by local Rwandan seamstress cooperative,apparel,wool,Kicukiro,10414,ART-029
RW-1079,African Print Jumpsuit,Trendy jumpsuit made from local African print fabric Kigali artisan,apparel,kitenge,Gasabo,84694,ART-030
RW-1080,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,leather,Nyamirambo,107162,ART-031
RW-1081,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,suede,Nyamirambo,72186,ART-032
RW-1082,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,cowhide,Nyamirambo,19350,ART-033
RW-1083,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,leather,Nyamirambo,57307,ART-034
RW-1084,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,suede,Nyamirambo,84490,ART-035
RW-1085,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,cowhide,Nyamirambo,57738,ART-036
RW-1086,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,leather,Nyamirambo,132870,ART-037
RW-1087,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,suede,Nyamirambo,105712,ART-038
RW-1088,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,cowhide,Nyamirambo,122285,ART-039
RW-1089,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,leather,Nyamirambo,39452,ART-040
RW-1090,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,suede,Nyamirambo,71436,ART-041
RW-1091,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,cowhide,Nyamirambo,38603,ART-042
RW-1092,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,leather,Nyamirambo,66651,ART-043
RW-1093,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,suede,Nyamirambo,149159,ART-044
RW-1094,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,cowhide,Nyamirambo,143289,ART-045
RW-1095,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,leather,Nyamirambo,70876,ART-046
RW-1096,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,suede,Nyamirambo,114311,ART-047
RW-1097,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,106700,ART-048
RW-1098,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,leather,Nyamirambo,96895,ART-049
RW-1099,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,suede,Nyamirambo,59493,ART-050
RW-1100,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,cowhide,Nyamirambo,38262,ART-001
RW-1101,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,leather,Nyamirambo,135569,ART-002
RW-1102,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,suede,Nyamirambo,131372,ART-003
RW-1103,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,25831,ART-004
RW-1104,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,leather,Nyamirambo,14351,ART-005
RW-1105,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,suede,Nyamirambo,30743,ART-006
RW-1106,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,cowhide,Nyamirambo,42066,ART-007
RW-1107,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,leather,Nyamirambo,43938,ART-008
RW-1108,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,suede,Nyamirambo,112666,ART-009
RW-1109,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,cowhide,Nyamirambo,18653,ART-010
RW-1110,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,leather,Nyamirambo,102864,ART-011
RW-1111,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,suede,Nyamirambo,102039,ART-012
RW-1112,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,cowhide,Nyamirambo,124696,ART-013
RW-1113,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,leather,Nyamirambo,140704,ART-014
RW-1114,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,suede,Nyamirambo,67906,ART-015
RW-1115,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,cowhide,Nyamirambo,147024,ART-016
RW-1116,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,leather,Nyamirambo,5009,ART-017
RW-1117,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,suede,Nyamirambo,32029,ART-018
RW-1118,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,cowhide,Nyamirambo,142763,ART-019
RW-1119,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,leather,Nyamirambo,71946,ART-020
RW-1120,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,suede,Nyamirambo,91174,ART-021
RW-1121,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,31242,ART-022
RW-1122,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,leather,Nyamirambo,78939,ART-023
RW-1123,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,suede,Nyamirambo,115971,ART-024
RW-1124,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,cowhide,Nyamirambo,43460,ART-025
RW-1125,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,leather,Nyamirambo,120940,ART-026
RW-1126,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,suede,Nyamirambo,2850,ART-027
RW-1127,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,71045,ART-028
RW-1128,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,leather,Nyamirambo,133225,ART-029
RW-1129,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,suede,Nyamirambo,48832,ART-030
RW-1130,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,cowhide,Nyamirambo,135085,ART-031
RW-1131,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,leather,Nyamirambo,29894,ART-032
RW-1132,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,suede,Nyamirambo,80235,ART-033
RW-1133,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,cowhide,Nyamirambo,135080,ART-034
RW-1134,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,leather,Nyamirambo,54143,ART-035
RW-1135,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,suede,Nyamirambo,42065,ART-036
RW-1136,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,cowhide,Nyamirambo,100019,ART-037
RW-1137,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,leather,Nyamirambo,44349,ART-038
RW-1138,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,suede,Nyamirambo,143394,ART-039
RW-1139,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,cowhide,Nyamirambo,141029,ART-040
RW-1140,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,leather,Nyamirambo,2149,ART-041
RW-1141,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,suede,Nyamirambo,86975,ART-042
RW-1142,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,cowhide,Nyamirambo,130085,ART-043
RW-1143,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,leather,Nyamirambo,7105,ART-044
RW-1144,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,suede,Nyamirambo,31325,ART-045
RW-1145,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,97153,ART-046
RW-1146,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,leather,Nyamirambo,82612,ART-047
RW-1147,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,suede,Nyamirambo,64770,ART-048
RW-1148,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,cowhide,Nyamirambo,17184,ART-049
RW-1149,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,leather,Nyamirambo,65143,ART-050
RW-1150,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,suede,Nyamirambo,22645,ART-001
RW-1151,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,cowhide,Nyamirambo,24453,ART-002
RW-1152,Kigali Leather Boots,Handcrafted leather boots made by skilled Nyamirambo leatherworker artisans,leather,leather,Nyamirambo,129399,ART-003
RW-1153,Rwanda Leather Handbag,Premium leather handbag crafted by local Nyamirambo leatherworkers,leather,suede,Nyamirambo,20143,ART-004
RW-1154,Leather Wallet Rwanda,Genuine cowhide wallet handmade by Nyamirambo leather artisan,leather,cowhide,Nyamirambo,141645,ART-005
RW-1155,Leather Belt Kigali,Hand-stitched leather belt from Rwandan cowhide by Nyamirambo artisan,leather,leather,Nyamirambo,34967,ART-006
RW-1156,Suede Loafers Kigali,Comfortable suede loafers handcrafted in Nyamirambo by skilled cobbler,leather,suede,Nyamirambo,35657,ART-007
RW-1157,Leather Sandals Rwanda,Traditional leather sandals handmade in Nyamirambo workshop,leather,cowhide,Nyamirambo,126592,ART-008
RW-1158,Leather Backpack Kigali,Durable leather backpack handcrafted by Nyamirambo local artisans,leather,leather,Nyamirambo,146127,ART-009
RW-1159,Cowhide Purse Rwanda,Beautiful cowhide purse made by skilled Nyamirambo leatherworkers,leather,suede,Nyamirambo,45287,ART-010
RW-1160,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Kimironko,71483,ART-011
RW-1161,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Kicukiro,140326,ART-012
RW-1162,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Gasabo,112923,ART-013
RW-1163,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Musanze,57521,ART-014
RW-1164,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Huye,143373,ART-015
RW-1165,Woven Market Basket,Sturdy woven market basket from Huye women cooperative,basketry,raffia,Rubavu,54730,ART-016
RW-1166,Mini Agaseke Basket,Small traditional agaseke basket perfect as Made in Rwanda gift,basketry,bamboo,Muhanga,83714,ART-017
RW-1167,Sisal Wall Decoration,Decorative sisal wall piece handwoven by Kimironko artisans,basketry,papyrus,Kimironko,106593,ART-018
RW-1168,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Kicukiro,99889,ART-019
RW-1169,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Gasabo,116845,ART-020
RW-1170,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Musanze,137679,ART-021
RW-1171,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Huye,120354,ART-022
RW-1172,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Rubavu,33720,ART-023
RW-1173,Woven Market Basket,Sturdy woven market basket from Huye women cooperative,basketry,raffia,Muhanga,66986,ART-024
RW-1174,Mini Agaseke Basket,Small traditional agaseke basket perfect as Made in Rwanda gift,basketry,bamboo,Kimironko,60903,ART-025
RW-1175,Sisal Wall Decoration,Decorative sisal wall piece handwoven by Kimironko artisans,basketry,papyrus,Kicukiro,18784,ART-026
RW-1176,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Gasabo,90627,ART-027
RW-1177,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Musanze,7514,ART-028
RW-1178,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Huye,147207,ART-029
RW-1179,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Rubavu,62323,ART-030
RW-1180,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Muhanga,59728,ART-031
RW-1181,Woven Market Basket,Sturdy woven market basket from Huye women cooperative,basketry,raffia,Kimironko,3885,ART-032
RW-1182,Mini Agaseke Basket,Small traditional agaseke basket perfect as Made in Rwanda gift,basketry,bamboo,Kicukiro,20610,ART-033
RW-1183,Sisal Wall Decoration,Decorative sisal wall piece handwoven by Kimironko artisans,basketry,papyrus,Gasabo,17433,ART-034
RW-1184,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Musanze,62015,ART-035
RW-1185,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Huye,19668,ART-036
RW-1186,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Rubavu,10234,ART-037
RW-1187,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Muhanga,88619,ART-038
RW-1188,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Kimironko,20574,ART-039
RW-1189,Woven Market Basket,Sturdy woven market basket from Huye women cooperative,basketry,raffia,Kicukiro,136782,ART-040
RW-1190,Mini Agaseke Basket,Small traditional agaseke basket perfect as Made in Rwanda gift,basketry,bamboo,Gasabo,64391,ART-041
RW-1191,Sisal Wall Decoration,Decorative sisal wall piece handwoven by Kimironko artisans,basketry,papyrus,Musanze,75001,ART-042
RW-1192,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Huye,129248,ART-043
RW-1193,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Rubavu,58160,ART-044
RW-1194,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Muhanga,143356,ART-045
RW-1195,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Kimironko,36684,ART-046
RW-1196,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Kicukiro,125907,ART-047
RW-1197,Woven Market Basket,Sturdy woven market basket from Huye women cooperative,basketry,raffia,Gasabo,65700,ART-048
RW-1198,Mini Agaseke Basket,Small traditional agaseke basket perfect as Made in Rwanda gift,basketry,bamboo,Musanze,125987,ART-049
RW-1199,Sisal Wall Decoration,Decorative sisal wall piece handwoven by Kimironko artisans,basketry,papyrus,Huye,108708,ART-050
RW-1200,Rwandan Peace Basket,Traditional Rwandan agaseke peace basket handwoven by women cooperative,basketry,sisal,Rubavu,51914,ART-001
RW-1201,Sisal Shopping Basket,Eco-friendly sisal shopping basket woven in rural Rwanda cooperative,basketry,raffia,Muhanga,26726,ART-002
RW-1202,Papyrus Storage Basket,Large papyrus storage basket from Lake Kivu region artisans,basketry,bamboo,Kimironko,27409,ART-003
RW-1203,Bamboo Fruit Basket,Beautiful bamboo fruit basket handwoven by Musanze artisans cooperative,basketry,papyrus,Kicukiro,114997,ART-004
RW-1204,Raffia Gift Basket,Decorative raffia gift basket with traditional Rwandan patterns,basketry,sisal,Gasabo,94876,ART-005
