event_id,query_id,sku_clicked,position,clicked
EVT-00273,Q054,RW-1310,5,1
EVT-00274,Q077,RW-1316,6,1
EVT-00275,Q029,RW-1397,2,1
EVT-00276,Q067,RW-1194,2,1
EVT-00277,Q058,RW-1226,4,1
EVT-00278,Q039,RW-1301,3,1
EVT-00279,Q055,RW-1156,3,1
EVT-00280,Q073,RW-1317,4,1
EVT-00281,Q008,RW-1312,6,1
EVT-00282,Q095,RW-1050,1,1
EVT-00283,Q098,RW-1106,2,1
EVT-00284,Q081,RW-1108,1,1
EVT-00285,Q034,RW-1338,2,1
EVT-00286,Q011,RW-1080,1,1
EVT-00287,Q031,RW-1088,2,1
EVT-00288,Q071,RW-1038,2,1
EVT-00289,Q021,RW-1001,1,1
EVT-00290,Q053,RW-1230,2,1
EVT-00291,Q089,RW-1304,1,1
EVT-00292,Q061,RW-1149,1,1
EVT-00293,Q005,RW-1118,4,1
EVT-00294,Q037,RW-1361,2,1
EVT-00295,Q037,RW-1359,1,1
EVT-00296,Q111,RW-1232,2,1
EVT-00297,Q010,RW-1351,4,1
EVT-00298,Q030,RW-1135,1,1
EVT-00299,Q101,RW-1320,3,1
EVT-00300,Q076,RW-1338,1,1
EVT-00301,Q103,RW-1101,1,1
EVT-00302,Q055,RW-1058,2,1
EVT-00303,Q070,RW-1115,2,1
EVT-00304,Q083,RW-1076,3,1
EVT-00305,Q117,RW-1136,3,1
EVT-00306,Q106,RW-1072,8,1
EVT-00307,Q010,RW-1030,2,1
EVT-00308,Q022,RW-1157,1,1
EVT-00309,Q077,RW-1383,4,1
EVT-00310,Q106,RW-1291,1,1
EVT-00311,Q118,RW-1147,2,1
EVT-00312,Q057,RW-1063,1,1
EVT-00313,Q060,RW-1352,1,1
EVT-00314,Q039,RW-1358,8,1
EVT-00315,Q052,RW-1139,5,1
EVT-00316,Q065,RW-1276,3,1
EVT-00317,Q064,RW-1224,2,1
EVT-00318,Q011,RW-1306,1,1
EVT-00319,Q006,RW-1221,1,1
EVT-00320,Q095,RW-1165,1,1
EVT-00321,Q078,RW-1128,2,1
EVT-00322,Q004,RW-1046,3,1
EVT-00323,Q030,RW-1345,3,1
EVT-00324,Q108,RW-1294,1,1
EVT-00325,Q076,RW-1010,7,1
EVT-00326,Q098,RW-1344,3,1
EVT-00327,Q106,RW-1137,2,1
EVT-00328,Q074,RW-1020,3,1
EVT-00329,Q098,RW-1387,2,1
EVT-00330,Q023,RW-1240,1,1
EVT-00331,Q067,RW-1333,2,1
EVT-00332,Q057,RW-1142,4,1
EVT-00333,Q024,RW-1299,1,1
EVT-00334,Q056,RW-1325,1,1
EVT-00335,Q105,RW-1251,1,1
EVT-00336,Q012,RW-1240,1,1
EVT-00337,Q045,RW-1209,5,1
EVT-00338,Q043,RW-1164,3,1
EVT-00339,Q086,RW-1053,2,1
EVT-00340,Q110,RW-1082,1,1
EVT-00341,Q043,RW-1210,2,1
EVT-00342,Q089,RW-1253,2,1
EVT-00343,Q037,RW-1339,1,1
EVT-00344,Q052,RW-1389,2,1
EVT-00345,Q071,RW-1018,2,1
EVT-00346,Q059,RW-1045,3,1
EVT-00347,Q041,RW-1129,3,1
EVT-00348,Q042,RW-1059,1,1
EVT-00349,Q099,RW-1206,2,1
EVT-00350,Q111,RW-1263,3,1
EVT-00351,Q106,RW-1000,2,1
EVT-00352,Q085,RW-1277,5,1
EVT-00353,Q060,RW-1211,3,1
EVT-00354,Q007,RW-1096,1,1
EVT-00355,Q067,RW-1185,1,1
EVT-00356,Q080,RW-1387,3,1
EVT-00357,Q064,RW-1320,1,1
EVT-00358,Q057,RW-1389,2,1
EVT-00359,Q007,RW-1104,7,1
EVT-00360,Q035,RW-1281,2,1
EVT-00361,Q017,RW-1147,2,1
EVT-00362,Q057,RW-1357,3,1
EVT-00363,Q063,RW-1062,2,1
EVT-00364,Q004,RW-1322,2,1
EVT-00365,Q078,RW-1122,7,1
EVT-00366,Q091,RW-1081,2,1
EVT-00367,Q040,RW-1282,8,1
EVT-00368,Q002,RW-1282,6,1
EVT-00369,Q053,RW-1047,1,1
EVT-00370,Q029,RW-1058,1,1
EVT-00371,Q060,RW-1060,1,1
EVT-00372,Q083,RW-1078,1,1
EVT-00373,Q064,RW-1366,1,1
EVT-00374,Q038,RW-1260,3,1
EVT-00375,Q091,RW-1139,1,1
EVT-00376,Q054,RW-1247,1,1
EVT-00377,Q061,RW-1124,5,1
EVT-00378,Q059,RW-1282,1,1
EVT-00379,Q019,RW-1196,4,1
EVT-00380,Q025,RW-1306,1,1
EVT-00381,Q066,RW-1382,1,1
EVT-00382,Q113,RW-1069,3,1
EVT-00383,Q111,RW-1035,3,1
EVT-00384,Q036,RW-1395,5,1
EVT-00385,Q102,RW-1212,3,1
EVT-00386,Q044,RW-1259,4,1
EVT-00387,Q035,RW-1001,1,1
EVT-00388,Q037,RW-1371,1,1
EVT-00389,Q039,RW-1300,4,1
EVT-00390,Q075,RW-1337,4,1
EVT-00391,Q063,RW-1076,10,1
EVT-00392,Q058,RW-1275,2,1
EVT-00393,Q062,RW-1176,2,1
EVT-00394,Q043,RW-1282,4,1
EVT-00395,Q098,RW-1278,1,1
EVT-00396,Q049,RW-1233,7,1
EVT-00397,Q120,RW-1164,5,1
EVT-00398,Q112,RW-1096,2,1
EVT-00399,Q090,RW-1122,4,1
EVT-00400,Q074,RW-1196,4,1
EVT-00401,Q030,RW-1397,1,1
EVT-00402,Q053,RW-1022,6,1
EVT-00403,Q041,RW-1381,2,1
EVT-00404,Q061,RW-1361,4,1
EVT-00405,Q117,RW-1195,1,1
EVT-00406,Q050,RW-1339,6,1
EVT-00407,Q102,RW-1333,2,1
EVT-00408,Q020,RW-1253,1,1
EVT-00409,Q005,RW-1064,6,1
EVT-00410,Q065,RW-1302,1,1
EVT-00411,Q043,RW-1051,1,1
EVT-00412,Q112,RW-1225,7,1
EVT-00413,Q013,RW-1269,7,1
EVT-00414,Q117,RW-1233,2,1
EVT-00415,Q002,RW-1369,3,1
EVT-00416,Q019,RW-1209,2,1
EVT-00417,Q112,RW-1335,1,1
EVT-00418,Q020,RW-1038,1,1
EVT-00419,Q061,RW-1135,3,1
EVT-00420,Q044,RW-1319,4,1
EVT-00421,Q089,RW-1203,4,1
EVT-00422,Q084,RW-1041,4,1
EVT-00423,Q110,RW-1168,1,1
EVT-00424,Q110,RW-1345,2,1
EVT-00425,Q110,RW-1273,1,1
EVT-00426,Q049,RW-1162,2,1
EVT-00427,Q081,RW-1367,2,1
EVT-00428,Q114,RW-1388,5,1
EVT-00429,Q063,RW-1277,2,1
EVT-00430,Q005,RW-1316,1,1
EVT-00431,Q009,RW-1120,1,1
EVT-00432,Q081,RW-1350,4,1
EVT-00433,Q118,RW-1147,3,1
EVT-00434,Q030,RW-1382,1,1
EVT-00435,Q012,RW-1222,1,1
EVT-00436,Q013,RW-1389,3,1
EVT-00437,Q082,RW-1360,1,1
EVT-00438,Q112,RW-1051,4,1
EVT-00439,Q057,RW-1085,3,1
EVT-00440,Q089,RW-1153,1,1
EVT-00441,Q116,RW-1014,1,1
EVT-00442,Q006,RW-1166,9,1
EVT-00443,Q102,RW-1028,2,1
EVT-00444,Q038,RW-1183,2,1
EVT-00445,Q048,RW-1220,4,1
EVT-00446,Q019,RW-1125,7,1
EVT-00447,Q068,RW-1210,9,1
EVT-00448,Q073,RW-1349,4,1
EVT-00449,Q102,RW-1092,2,1
EVT-00450,Q022,RW-1089,1,1
EVT-00451,Q011,RW-1312,4,1
EVT-00452,Q112,RW-1195,2,1
EVT-00453,Q080,RW-1349,2,1
EVT-00454,Q031,RW-1254,6,1
EVT-00455,Q117,RW-1298,1,1
EVT-00456,Q019,RW-1118,2,1
EVT-00457,Q060,RW-1326,1,1
EVT-00458,Q033,RW-1235,2,1
EVT-00459,Q033,RW-1341,1,1
EVT-00460,Q002,RW-1238,1,1
EVT-00461,Q116,RW-1147,1,1
EVT-00462,Q087,RW-1279,3,1
EVT-00463,Q021,RW-1037,3,1
EVT-00464,Q057,RW-1176,2,1
EVT-00465,Q076,RW-1153,8,1
EVT-00466,Q082,RW-1217,2,1
EVT-00467,Q089,RW-1128,1,1
EVT-00468,Q059,RW-1154,5,1
EVT-00469,Q026,RW-1196,1,1
EVT-00470,Q110,RW-1247,8,1
EVT-00471,Q014,RW-1121,1,1
EVT-00472,Q049,RW-1292,8,1
EVT-00473,Q046,RW-1294,1,1
EVT-00474,Q038,RW-1358,6,1
EVT-00475,Q038,RW-1011,2,1
EVT-00476,Q107,RW-1337,10,1
EVT-00477,Q051,RW-1140,1,1
EVT-00478,Q002,RW-1289,2,1
EVT-00479,Q111,RW-1351,8,1
EVT-00480,Q100,RW-1381,2,1
EVT-00481,Q007,RW-1310,3,1
EVT-00482,Q096,RW-1254,3,1
EVT-00483,Q107,RW-1146,2,1
EVT-00484,Q100,RW-1117,3,1
EVT-00485,Q078,RW-1180,2,1
EVT-00486,Q029,RW-1325,6,1
EVT-00487,Q025,RW-1317,1,1
EVT-00488,Q033,RW-1347,1,1
EVT-00489,Q097,RW-1369,7,1
EVT-00490,Q099,RW-1337,6,1
EVT-00491,Q088,RW-1070,2,1
EVT-00492,Q081,RW-1049,3,1
EVT-00493,Q116,RW-1321,1,1
EVT-00494,Q083,RW-1020,1,1
EVT-00495,Q040,RW-1225,2,1
EVT-00496,Q005,RW-1296,2,1
EVT-00497,Q047,RW-1374,2,1
EVT-00498,Q017,RW-1046,1,1
EVT-00499,Q117,RW-1151,8,1
EVT-00500,Q042,RW-1382,9,1
EVT-00501,Q054,RW-1089,3,1
EVT-00502,Q026,RW-1067,2,1
EVT-00503,Q101,RW-1276,1,1
EVT-00504,Q113,RW-1187,4,1
EVT-00505,Q068,RW-1256,3,1
EVT-00506,Q117,RW-1139,1,1
EVT-00507,Q107,RW-1084,6,1
EVT-00508,Q033,RW-1246,4,1
EVT-00509,Q104,RW-1151,7,1
EVT-00510,Q096,RW-1173,3,1
EVT-00511,Q103,RW-1058,3,1
EVT-00512,Q060,RW-1038,2,1
EVT-00513,Q019,RW-1386,7,1
EVT-00514,Q029,RW-1346,5,1
EVT-00515,Q093,RW-1345,1,1
EVT-00516,Q051,RW-1285,1,1
EVT-00517,Q047,RW-1046,2,1
EVT-00518,Q102,RW-1202,4,1
EVT-00519,Q002,RW-1135,9,1
EVT-00520,Q069,RW-1063,1,1
EVT-00521,Q059,RW-1188,2,1
EVT-00522,Q087,RW-1383,2,1
EVT-00523,Q087,RW-1134,8,1
EVT-00524,Q075,RW-1195,5,1
EVT-00525,Q106,RW-1326,5,1
EVT-00526,Q048,RW-1055,2,1
EVT-00527,Q087,RW-1119,2,1
EVT-00528,Q061,RW-1012,1,1
EVT-00529,Q080,RW-1287,1,1
EVT-00530,Q042,RW-1312,5,1
EVT-00531,Q029,RW-1331,4,1
EVT-00532,Q009,RW-1325,10,1
EVT-00533,Q106,RW-1237,10,1
EVT-00534,Q117,RW-1358,2,1
EVT-00535,Q039,RW-1332,4,1
EVT-00536,Q053,RW-1059,7,1
EVT-00537,Q018,RW-1023,5,1
EVT-00538,Q005,RW-1155,1,1
EVT-00539,Q064,RW-1059,2,1
EVT-00540,Q013,RW-1120,1,1
EVT-00541,Q114,RW-1275,7,1
EVT-00542,Q018,RW-1198,3,1
EVT-00543,Q059,RW-1189,1,1
EVT-00544,Q086,RW-1380,3,1
EVT-00545,Q090,RW-1276,3,1
EVT-00546,Q054,RW-1300,2,1
EVT-00547,Q096,RW-1372,1,1
EVT-00548,Q020,RW-1212,3,1
EVT-00549,Q084,RW-1050,2,1
EVT-00550,Q107,RW-1250,4,1
EVT-00551,Q079,RW-1208,2,1
EVT-00552,Q036,RW-1016,5,1
EVT-00553,Q089,RW-1189,2,1
EVT-00554,Q028,RW-1227,2,1
EVT-00555,Q057,RW-1120,5,1
EVT-00556,Q110,RW-1185,2,1
EVT-00557,Q013,RW-1351,1,1
EVT-00558,Q048,RW-1278,1,1
EVT-00559,Q116,RW-1330,4,1
EVT-00560,Q046,RW-1031,3,1
EVT-00561,Q051,RW-1141,3,1
EVT-00562,Q025,RW-1062,1,1
EVT-00563,Q109,RW-1232,1,1
EVT-00564,Q012,RW-1339,1,1
EVT-00565,Q028,RW-1328,2,1
EVT-00566,Q082,RW-1305,2,1
EVT-00567,Q003,RW-1025,2,1
EVT-00568,Q101,RW-1170,2,1
EVT-00569,Q032,RW-1064,6,1
EVT-00570,Q101,RW-1289,1,1
EVT-00571,Q027,RW-1035,2,1
EVT-00572,Q107,RW-1391,4,1
EVT-00573,Q071,RW-1106,2,1
EVT-00574,Q076,RW-1110,3,1
EVT-00575,Q105,RW-1119,5,1
EVT-00576,Q043,RW-1396,7,1
EVT-00577,Q019,RW-1305,1,1
EVT-00578,Q001,RW-1141,6,1
EVT-00579,Q110,RW-1074,2,1
EVT-00580,Q017,RW-1276,1,1
EVT-00581,Q033,RW-1089,2,1
EVT-00582,Q015,RW-1338,9,1
EVT-00583,Q111,RW-1013,2,1
EVT-00584,Q017,RW-1007,1,1
EVT-00585,Q046,RW-1121,3,1
EVT-00586,Q076,RW-1165,1,1
EVT-00587,Q003,RW-1089,1,1
EVT-00588,Q034,RW-1026,1,1
EVT-00589,Q017,RW-1379,1,1
EVT-00590,Q054,RW-1269,1,1
EVT-00591,Q015,RW-1381,1,1
EVT-00592,Q009,RW-1243,3,1
EVT-00593,Q058,RW-1398,1,1
EVT-00594,Q047,RW-1262,1,1
EVT-00595,Q076,RW-1055,6,1
EVT-00596,Q058,RW-1257,2,1
EVT-00597,Q029,RW-1314,3,1
EVT-00598,Q006,RW-1372,1,1
EVT-00599,Q101,RW-1337,1,1
EVT-00600,Q067,RW-1154,1,1
EVT-00601,Q059,RW-1329,1,1
EVT-00602,Q004,RW-1031,1,1
EVT-00603,Q062,RW-1205,1,1
EVT-00604,Q055,RW-1351,1,1
EVT-00605,Q014,RW-1251,1,1
EVT-00606,Q092,RW-1227,2,1
EVT-00607,Q010,RW-1041,1,1
EVT-00608,Q042,RW-1311,2,1
EVT-00609,Q019,RW-1033,2,1
EVT-00610,Q017,RW-1140,3,1
EVT-00611,Q080,RW-1324,1,1
EVT-00612,Q075,RW-1280,4,1
EVT-00613,Q092,RW-1166,3,1
EVT-00614,Q049,RW-1305,1,1
EVT-00615,Q068,RW-1150,5,1
EVT-00616,Q059,RW-1258,6,1
EVT-00617,Q078,RW-1220,1,1
EVT-00618,Q013,RW-1359,1,1
EVT-00619,Q015,RW-1335,4,1
EVT-00620,Q084,RW-1393,3,1
EVT-00621,Q071,RW-1369,1,1
EVT-00622,Q111,RW-1110,1,1
EVT-00623,Q056,RW-1231,2,1
EVT-00624,Q114,RW-1116,2,1
EVT-00625,Q053,RW-1173,3,1
EVT-00626,Q106,RW-1232,2,1
EVT-00627,Q052,RW-1212,2,1
EVT-00628,Q094,RW-1048,3,1
EVT-00629,Q041,RW-1218,1,1
EVT-00630,Q041,RW-1340,1,1
EVT-00631,Q033,RW-1191,3,1
EVT-00632,Q020,RW-1351,6,1
EVT-00633,Q119,RW-1242,2,1
EVT-00634,Q009,RW-1046,2,1
EVT-00635,Q107,RW-1043,1,1
EVT-00636,Q012,RW-1221,2,1
EVT-00637,Q013,RW-1381,2,1
EVT-00638,Q095,RW-1190,1,1
EVT-00639,Q104,RW-1066,1,1
EVT-00640,Q072,RW-1030,2,1
EVT-00641,Q076,RW-1287,1,1
EVT-00642,Q072,RW-1168,1,1
EVT-00643,Q086,RW-1062,1,1
EVT-00644,Q053,RW-1181,1,1
EVT-00645,Q112,RW-1340,1,1
EVT-00646,Q097,RW-1216,6,1
EVT-00647,Q112,RW-1369,2,1
EVT-00648,Q007,RW-1147,3,1
EVT-00649,Q077,RW-1159,4,1
EVT-00650,Q046,RW-1053,2,1
EVT-00651,Q074,RW-1259,1,1
EVT-00652,Q028,RW-1079,2,1
EVT-00653,Q085,RW-1246,2,1
EVT-00654,Q029,RW-1055,3,1
EVT-00655,Q045,RW-1284,2,1
EVT-00656,Q048,RW-1058,1,1
EVT-00657,Q098,RW-1142,1,1
EVT-00658,Q074,RW-1115,2,1
EVT-00659,Q104,RW-1219,3,1
EVT-00660,Q109,RW-1287,2,1
EVT-00661,Q099,RW-1318,2,1
EVT-00662,Q079,RW-1345,9,1
EVT-00663,Q083,RW-1285,3,1
EVT-00664,Q004,RW-1311,1,1
